company,skills
CAPITAL ONE FINANCIAL SERVICES CLIENT,"software packages  ,  software engineering  ,  big data  ,  python  ,  director  ,  algorithm development  ,  environment management  ,  algorithms  ,  scala  ,  sql  ,  san  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  software engineering  ,  cloud computing  ,  san  ,  python  ,  machine learning"
pype,"image processing  ,  python  ,  problem solving  ,  machine learning  ,  hadoop  ,  opencv  ,  pattern recognition"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"hive  ,  pig  ,  sql  ,  database  ,  java  ,  hadoop  ,  api  ,  perl  ,  san  ,  python  ,  impala  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"hive  ,  pig  ,  sql  ,  database  ,  java  ,  hadoop  ,  api  ,  perl  ,  san  ,  python  ,  impala  ,  machine learning"
APPLYCUP HIRING SOLUTIONS LLP,"algorithms  ,  python  ,  natural language processing  ,  machine learning  ,  artificial intelligence"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
WELLS FARGO INDIA,"c    ,  java  ,  c#  ,  python  ,  exceptions  ,  .net  ,  security  ,  c  ,  sas  ,  machine learning  ,  sql database"
Morgan Stanley Pvt Ltd,"mathematics  ,  physics  ,  quantitative techniques  ,  statistics"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"mantas  ,  software packages  ,  software engineering  ,  python  ,  director  ,  environment management  ,  algorithms  ,  scala  ,  cloud computing  ,  san  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"san  ,  project management  ,  scrum master  ,  project manager  ,  infrastructure  ,  project delivery  ,  senior project manager"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"sql  ,  cloud computing  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"hive  ,  pig  ,  sql  ,  database  ,  java  ,  hadoop  ,  api  ,  perl  ,  san  ,  python  ,  impala  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  software engineering  ,  cloud computing  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"orchestration  ,  software engineering  ,  python  ,  director  ,  environment management  ,  scala  ,  json  ,  cloud computing  ,  san  ,  software delivery  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  software engineering  ,  cloud computing  ,  san  ,  python  ,  software delivery  ,  machine learning"
"ADP Resources
     (More Jobs)","python  ,  Machine Learning  ,  Artificial Intelligence  ,  Algorithm  ,  Tableau  ,  Data Visualization  ,  Data Analysis  ,  Data Mining  ,  Data Extraction  ,  Data Modeling  ,  R  ,  SQL  ,  Data Science"
DBS Bank Ltd,"algorithms  ,  data mining  ,  big data  ,  problem solving  ,  team player  ,  machine learning  ,  infrastructure"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  cloud computing  ,  big data  ,  san  ,  python  ,  natural language processing  ,  machine learning  ,  dash"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"algorithms  ,  scala  ,  mantas  ,  cloud computing  ,  san  ,  python  ,  director  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  cloud computing  ,  san  ,  python  ,  machine learning  ,  infrastructure"
AMAZON INDIA PVT LTD,"mentor  ,  software development  ,  infrastructure  ,  design patterns"
"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)","data science  ,  machinelearning"
DBS Bank Ltd,"data mining  ,  sql  ,  big data  ,  python  ,  machine learning"
"ADP Resources
     (More Jobs)","Business Planning  ,  Operations Management  ,  Variance Analysis  ,  Cash Flow  ,  Investment Banking Operations  ,  Capital  ,  Financial  ,  Budgeting Forecasting Planning  ,  SAP Fico  ,  Mm"
"Imran Malik
     (More Jobs)",Commerce
"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)","Tableau  ,  SQL  ,  Excel"
"ADAL IMMIGRATIONS LLP
     (More Jobs)","""quality management""  ,  Quality Assurance  ,  Quality Analyst  ,  quality control  ,  quality inspection  ,  ""Quality Assurance""  ,  Quality Management  ,  Data quality manager"
"AIN Placement and Staffing
     (More Jobs)",New Data Entry Projects For Housewives
"AIN Placement and Staffing
     (More Jobs)",Earn weekly income by   (  Generate income with typing  )
"AppSoft Solutions
     (More Jobs)","Computer Operator   ,   Data Entry Operator  ,  data entry  ,  computer operator  ,  data entry operator"
"Gratitude India
     (More Jobs)","data analyst  ,  Data Analysis  ,  Data Clustering"
"SS service
     (More Jobs)","Data Entry  ,  computer operator  ,  cashier  ,  accountant  ,  Back Office Operations  ,  assistant manager"
"SS service
     (More Jobs)","Supervisor  ,  Data Entry Operator  ,  computer operator  ,  Back Office  ,  technical support executive  ,  system admin"
"Neeraj Recruiters
     (More Jobs)","Manager  ,  Auditor  ,  Office-mgmt  ,  Executive  ,  assistant  ,  office assistant  ,  front office assistant  ,  data entry operator"
"AIN Placement and Staffing
     (More Jobs)","freshers earn  ,  AD posting and Telecalling online job available here"
"Jovial trip
     (More Jobs)","be  ,  Btech  ,  ba  ,  bsc  ,  software engineer  ,  network engineer  ,  bhm  ,  marketing  ,  sales  ,  nurse  ,  receptionist  ,  freshers  ,  housewives  ,  students  ,  bachelor  ,  mSC  ,  phd  ,  graduate  ,  bca"
"Aryan technologies
     (More Jobs)","Fresher  ,  Online Data Entry  ,  Data Entry Operator  ,  Data Base Administrator  ,  Data Entry Officer  ,  Form Filling  ,  Computer Operator  ,  Data Entry Executive  ,  DEO  ,  Data Entry"
"Aryan technologies
     (More Jobs)","Fresher  ,  Online Data Entry  ,  Data Entry Operator  ,  Data Base Administrator  ,  Data Entry Officer  ,  Form Filling  ,  Computer Operator  ,  Data Entry Executive  ,  DEO  ,  Data Entry"
"SS service
     (More Jobs)","Data Entry Operator  ,  clerk  ,  computer operator  ,  office assistant  ,  front office executive  ,  front office  ,  branch incharge"
"QR CRYPHER
     (More Jobs)","typing  ,  Data Entry  ,  data entry operator  ,  computer operator  ,  form filling  ,  BPO  ,  DEO  ,  freshers  ,  Home based  ,  part time work  ,  Non- Voice process"
"AIN Placement and Staffing
     (More Jobs)",Smart system work permanent online
"AIN Placement and Staffing
     (More Jobs)",ONLINE PART TIME COPY N PASTE JOB
"LIFE EDUCARE PRIVATE LIMITED
     (More Jobs)","teacher  ,  teaching  ,  Education  ,  school  ,  IT mANAGER  ,  admission  ,  secretary  ,  pre.school  ,  montessori  ,  science teacher  ,  english teacher  ,  Telugu"
"SAMplacememt
     (More Jobs)","interest in science  ,  Technology Development  ,  general understanding  ,  energy market  ,  relevant legislation surrounding energy  ,  good communication   ,  scientific  ,  Initiative"
"AIN Placement and Staffing
     (More Jobs)","Deal all home workers  ,   no target  ,  no tension and no time limit"
"AIN Placement and Staffing
     (More Jobs)",Mega opening for back office data entry for MNC company
"AIN Placement and Staffing
     (More Jobs)",You can choose your working hours
"Neeraj Recruiters
     (More Jobs)","Secretarial Assistance  ,  Entry Operator  ,  Secretary  ,  admin  ,  Manager  ,  team leader  ,  Auditor  ,  customer executive  ,  Office-mgmt  ,  Executive  ,  computer operator"
"AIN Placement and Staffing
     (More Jobs)",HIRING FOR PART   /  HOME BASED  /   FULL TIME OPPORTUNITY
"AIN Placement and Staffing
     (More Jobs)",We need motivated and hard working people to earn money
"AIN Placement and Staffing
     (More Jobs)",STUDENTS ARE WELCOME TO THIS GREAT OPPORTUNITY
"AIN Placement and Staffing
     (More Jobs)",We need urgently 15 20 candidates for data entry work
"AIN Placement and Staffing
     (More Jobs)",Most exciting opportunity for you- part time jobs
"AppSoft Solutions
     (More Jobs)","Computer Operator   ,   Data Entry Operator  ,  data entry  ,  computer operator  ,  data entry operator"
"AIN Placement and Staffing
     (More Jobs)",We are india largest offline data entry work provider plans starts from per day to per month
"ADP Resources
     (More Jobs)","Business Intelligence  ,  BI Developer  ,  Power BI  ,  Zure Service  ,  Data Lake  ,  Blob Storage  ,  Dax  ,  Data Model  ,  Data Flow  ,  SQL  ,  AWS  ,  Devops  ,  BI Reports  ,  Sap Bw  ,  Sap Bi  ,  Sap Hana"
"MAX DATA ENTRY SERVICES LLP
     (More Jobs)","Data Entry  ,  Work From Home  ,  Microsoft Excel  ,  Back Office Operations  ,  Content Writing  ,  computer Operation  ,  HR Operations  ,  Human Resources Recruiting  ,  Data Entry Operator"
"AIN Placement and Staffing
     (More Jobs)",Do part time job and earn daily basics through online
